point_id,x,y,assigned_slot_id,assigned_layer_id,assigned_layer_name
0,58.2464455370406,89.77497085439042,82,0,outer_ring
1,52.46598759264565,89.80649012693164,240,0,outer_ring
2,43.335626459564935,89.54888859187068,524,0,outer_ring
3,40.825033451247094,87.81937457680971,581,0,outer_ring
4,37.137513540502376,86.96985767689202,629,0,outer_ring
5,44.50438689549629,80.43297715381608,4510,5,text_en_1919
6,40.132823770356836,86.06029908235972,594,0,outer_ring
7,35.10903772535442,79.19948906078173,4558,5,text_en_1919
8,32.00925437781315,69.4959355685234,4745,5,text_en_1919
9,25.31623249395587,66.98107591182654,4810,5,text_en_1919
10,22.18164266109708,67.01321374904133,4827,5,text_en_1919
11,20.51011231665231,62.48218736975,4887,5,text_en_1919
12,20.195354584855078,57.808901516030254,4976,5,text_en_1919
13,14.168819333147566,52.91161861109632,698,0,outer_ring
14,20.673251710257347,51.397299716081555,5080,5,text_en_1919
15,32.320654663315736,59.22469543316363,2588,2,octagram
16,33.56967810829983,44.59695774322759,2698,2,octagram
17,37.79854051347604,60.42660061838268,2559,2,octagram
18,41.30757315480815,69.75574329872549,2503,2,octagram
19,44.19521301678005,56.6854792595508,3356,3,stroke_nan
20,46.8922121258035,54.528360199583176,3386,3,stroke_nan
21,49.286664259267916,71.10865686089312,2447,2,octagram
22,51.57921594429995,56.095555611676005,3353,3,stroke_nan
23,53.76236983391542,67.82283932345572,2414,2,octagram
24,58.27423550511918,78.20994557778583,4609,5,text_en_1919
25,61.356316672304374,60.780511406197014,3799,4,stroke_kai
26,59.914491200216986,72.03067012670809,2374,2,octagram
27,65.59024098549521,69.80982815688196,2324,2,octagram
28,69.12977850151755,48.64789474417484,4017,4,stroke_kai
29,57.00933925614588,48.816158315582186,4014,4,stroke_kai
30,52.311607999371475,52.779398700276644,3429,3,stroke_nan
31,46.03138180222035,38.87176037638808,3727,3,stroke_nan
32,52.90657424396343,44.51961627904363,3607,3,stroke_nan
33,48.69571009954426,50.65245341079839,3477,3,stroke_nan
34,52.16975220465557,52.26149226409525,3435,3,stroke_nan
35,44.037637199245324,47.33412808324317,3550,3,stroke_nan
36,35.657625465671956,35.67843317671881,2792,2,octagram
37,34.50123838306536,34.931588531974704,2789,2,octagram
38,16.657036555924485,41.26296050494084,5326,5,text_en_1919
39,27.01575781605924,42.68955504240518,1929,1,inner_ring
40,31.15198218117795,41.318557448918945,2722,2,octagram
41,42.1344027771575,55.321718480641124,3382,3,stroke_nan
42,39.33506058343848,61.79584117827537,2551,2,octagram
43,28.83222681745435,37.24910909472698,2747,2,octagram
44,30.926518006544207,43.698723346382145,2711,2,octagram
45,28.4919677498482,25.359961694408934,5424,5,text_en_1919
46,29.17918611300938,25.49323371737815,5410,5,text_en_1919
47,37.33119434982275,24.888069519208535,2002,1,inner_ring
48,48.01747334632263,13.1939032531172,5623,5,text_en_1919
49,50.405852456568255,25.62342995827762,2930,2,octagram
50,53.02818642593943,5.639275734591906,1038,0,outer_ring
51,54.09722770788524,27.468032123922004,2956,2,octagram
52,53.20546291269981,38.85314151202993,3732,3,stroke_nan
53,56.083964275879175,39.617047957709154,4201,4,stroke_kai
54,56.6947832666282,42.40031951975359,4154,4,stroke_kai
55,65.31498213240108,50.75916123223643,3975,4,stroke_kai
56,61.23054929502316,45.11563854079819,4089,4,stroke_kai
57,61.10984721052159,49.283542228740494,3993,4,stroke_kai
58,73.99883091287201,48.01804721565617,3225,2,octagram
59,75.85383608900395,43.91444662519543,3199,2,octagram
60,76.03945123007617,45.682536696264,3210,2,octagram
61,76.17294590477354,53.223754750930986,3254,2,octagram
62,66.89697030227664,65.45343864151157,2299,2,octagram
63,66.80255927616061,69.68915691062091,2322,2,octagram
64,45.33384131296472,82.04655739159584,4433,5,text_en_1919
65,48.58953283655052,83.51018861156776,4357,5,text_en_1919
66,49.206131685339294,90.32343323585431,348,0,outer_ring
