frame,approx_iteration,mean_absolute_radial_error,max_abs_statistic_difference
0,0,9.625799203669066,0.0012745321752980487
1,1000,9.497516928414226,0.003948256925582427
2,2000,9.329701605177508,0.0044425530226506055
3,3000,9.177068132744475,0.004994790292400353
4,4000,9.05199969417543,0.006165683587497028
5,5000,8.920238686803211,0.004847299784003667
6,6000,8.766119698689467,0.003941491096917105
7,7000,8.612592165298834,0.004607459015936399
8,8000,8.473524866133383,0.004414660735740483
9,9000,8.346859983760218,0.003890889959169641
10,10000,8.188428843386518,0.004904069202805061
11,11000,8.056632505644199,0.003584557089006929
12,12000,7.906557154739355,0.0053154874316518885
13,13000,7.777563713758253,0.005429780495944669
14,14000,7.638286371321613,0.005147042962697412
15,15000,7.502324007588429,0.0042403186323731745
16,16000,7.357294389844666,0.005964877644274225
17,17000,7.197429653875454,0.0066434896547207245
18,18000,7.090100304796284,0.0048186477254645865
19,19000,6.9423506983896885,0.004142642441473533
20,20000,6.832953316558269,0.004252854960918935
21,21000,6.69820281920849,0.004337343884980527
22,22000,6.551016256266152,0.0038533992761220076
23,23000,6.444005905468366,0.004279737207432258
24,24000,6.316624567022728,0.0052053355215377906
25,25000,6.201435245594148,0.004473879062789621
26,26000,6.098323257887433,0.004666252318251907
27,27000,5.985249270137887,0.00404747372783406
28,28000,5.857747084173519,0.004048185775545783
29,29000,5.762806376028932,0.005390062367055748
30,30000,5.644223960523674,0.004905316395738879
31,31000,5.5224905632281525,0.004132746383723365
32,32000,5.417845702540169,0.005262242884001012
33,33000,5.277945484726132,0.005172560130532133
34,34000,5.163124311436787,0.004295022870316245
35,35000,5.0198238616123305,0.004406099163997368
36,36000,4.9093485627839355,0.006522391297494323
37,37000,4.8043899449434235,0.00472390565588654
38,38000,4.70546310811177,0.005120308490180747
39,39000,4.64345982816658,0.004153022123896531
40,40000,4.536686209648616,0.005755589975244391
41,41000,4.434557318219552,0.005347435878810813
42,42000,4.351922178019308,0.004480168492243308
43,43000,4.23275078461804,0.004682977418070777
44,44000,4.137147523426626,0.006908665327038932
45,45000,4.013959977881416,0.006596341967060937
46,46000,3.9323735381123157,0.004411921883807679
47,47000,3.8447014741202743,0.004232775646244136
48,48000,3.736012624836904,0.0056542081543540235
49,49000,3.6373751060226924,0.004447609993448905
50,50000,3.5103605691112034,0.004211823545171377
51,51000,3.4192012161924343,0.004308141647253905
52,52000,3.3464331553699056,0.005118080293879501
53,53000,3.2425647393260424,0.003989434451650453
54,54000,3.137960419134625,0.0042903484903194025
55,55000,3.0487541156395768,0.005072451785380849
56,56000,2.9721294260648525,0.006066577389006511
57,57000,2.880317235567682,0.0046824062017130075
58,58000,2.8003496187743124,0.0051412939417794234
59,59000,2.72189429512939,0.005824473167777455
60,60000,2.6658198280653194,0.003851115215468326
61,61000,2.5973697179157575,0.004034853042799824
62,62000,2.546332774736354,0.005303525557852851
63,63000,2.4994443284324213,0.002829796339842261
64,64000,2.457448484622155,0.00475241265052162
65,65000,2.4058429078448995,0.004762007966082393
66,66000,2.3460967248479028,0.0045183601682374785
67,67000,2.2843097730486215,0.004318097233598432
68,68000,2.271798468305583,0.0036641348136565027
69,69000,2.2428636146468754,0.005097371126698391
70,70000,2.2037123680187483,0.005331199704752265
71,71000,2.184984768162725,0.0049974491347022365
72,72000,2.1879666141359126,0.004811222958110761
73,73000,2.1525946424536846,0.004667745092568509
74,74000,2.120219164866288,0.0034707187905402698
75,75000,2.096638397416068,0.0059591087913659635
76,76000,2.0647044208645506,0.004929578729001349
77,77000,2.027960201154383,0.005375223562229081
78,78000,2.005843780823835,0.004963726144854519
79,79000,1.9699274260132396,0.0038627189355011637
80,80000,1.968675650522265,0.004848805234942688
81,81000,1.9515380081634528,0.0051232150191218295
82,82000,1.9596820828446861,0.004166462919789435
83,83000,1.9429113898971067,0.004751572767354162
84,84000,1.9322386879987175,0.0067113082404191005
85,85000,1.9081397530959197,0.005092046467872535
86,86000,1.9168578225662425,0.00469235105421717
87,87000,1.9078086699455954,0.005317009459176347
88,88000,1.894978192593471,0.004168353901803812
89,89000,1.889868227877492,0.004321840146474187
90,90000,1.8937362167847505,0.004949684579013791
91,91000,1.8818523467157036,0.0053460780704845945
92,92000,1.8659150230613248,0.005621835518702767
93,93000,1.842512315610513,0.003923434729575348
94,94000,1.8288160973068313,0.007666946638821059
95,95000,1.8317818478927668,0.004158397124871982
96,96000,1.827275361438987,0.0047153029976030325
97,97000,1.8062460871255912,0.0054427201048596885
98,98000,1.7966085423815303,0.005079606886944532
99,99000,1.8000448736769774,0.0043881526780076285
