point_id,x,y,assigned_slot_id,assigned_layer_id,assigned_layer_name
0,43.70140986091449,82.64384496495592,8867,5,text_en_1919
1,47.439935517223134,88.66478835613076,762,0,outer_ring
2,50.888088218904436,90.43319297705393,510,0,outer_ring
3,36.895874075609306,60.75748557009628,5131,2,octagram
4,45.857360689668766,79.54124072265977,9033,5,text_en_1919
5,46.633189320067935,77.6954759550858,9271,5,text_en_1919
6,26.756282872538613,58.72170817665141,3748,1,inner_ring
7,38.535609663335734,88.71313140143792,1212,0,outer_ring
8,23.08747939129113,48.13811652177552,10326,5,text_en_1919
9,27.653936921443847,67.03705789714556,9623,5,text_en_1919
10,26.23568941019725,46.80501198059817,3827,1,inner_ring
11,21.449941680321245,38.007597358578785,10758,5,text_en_1919
12,29.28190338558851,34.109582724354496,3920,1,inner_ring
13,12.085214696580973,37.87999572652911,1404,0,outer_ring
14,23.817544979140532,42.26467372236618,10569,5,text_en_1919
15,30.106426467236453,38.22913390065918,5520,2,octagram
16,21.594598685271205,47.32454152393009,10505,5,text_en_1919
17,26.799526682798398,64.5643023341289,9711,5,text_en_1919
18,25.557640386081648,49.60932307732162,3811,1,inner_ring
19,41.73595904435645,27.24261243708843,5721,2,octagram
20,66.78423593797534,5.443875482745124,3073,0,outer_ring
21,63.442608677582896,37.08783067605767,8459,4,stroke_kai
22,63.75443180350276,57.966052023174676,7700,4,stroke_kai
23,51.42009982439612,69.8893384167132,4868,2,octagram
24,64.65205485547916,89.72586691370248,26,0,outer_ring
25,49.74767554270245,57.023893876022974,6728,3,stroke_nan
26,52.462130268109654,91.1903767316023,398,0,outer_ring
27,49.74400189511054,89.83293121871039,584,0,outer_ring
28,51.56531639861958,89.7784213867036,460,0,outer_ring
29,62.81656058936226,89.00570752866993,41,0,outer_ring
30,48.68546758292913,69.99503782138235,4896,2,octagram
31,45.90786340159906,13.451204632535145,11105,5,text_en_1919
32,44.605566129959634,22.900002421671644,5779,2,octagram
33,44.53524265394348,49.59452093806122,6960,3,stroke_nan
34,50.885111724201586,7.532728509493361,1886,0,outer_ring
35,62.97136344020925,7.532031915846331,2930,0,outer_ring
36,43.8829882653897,52.71712840103006,6874,3,stroke_nan
37,36.791178458288584,9.773822836093847,1444,0,outer_ring
38,46.677276222555385,7.426302297673011,1638,0,outer_ring
39,26.537782669227852,51.912665760287034,3800,1,inner_ring
40,37.51933228646103,16.907657299326605,10958,5,text_en_1919
41,48.19681734949066,47.304160253522795,7111,3,stroke_nan
42,22.695091009663418,55.91056327426185,10002,5,text_en_1919
43,62.55524995687685,22.87708165819113,6025,2,octagram
44,37.9207169668124,23.443873409318435,4015,1,inner_ring
45,22.736786793599478,40.58130141399099,10631,5,text_en_1919
46,64.87161291763337,23.31865174778754,6054,2,octagram
47,41.649069398000485,24.06612593855589,5760,2,octagram
48,43.747889286389444,20.31576827905042,4054,1,inner_ring
49,55.820232310932454,3.5483320148656072,2350,0,outer_ring
50,55.477741032306156,5.483927305299229,2317,0,outer_ring
51,64.75868094578199,6.980959077831783,3018,0,outer_ring
52,63.00198565355425,72.25871791596774,4710,2,octagram
53,63.613285665044266,36.33514730709371,8499,4,stroke_kai
54,52.503694283126485,6.0299486589237015,2043,0,outer_ring
55,58.59511757067458,79.31101054394573,9111,5,text_en_1919
56,84.01754292452118,41.23797480383461,10669,5,text_en_1919
57,84.0142717630541,28.818414503426744,10802,5,text_en_1919
58,52.39588064797131,37.21684698531787,7481,3,stroke_nan
59,69.4401914464353,51.52651623308825,7889,4,stroke_kai
60,66.92079436006269,23.764588707713507,4216,1,inner_ring
61,55.17239629636584,50.033913457587914,7848,4,stroke_kai
62,54.039187594442005,50.82936256241898,4827,2,octagram
63,59.79025131383969,49.89215126544976,8004,4,stroke_kai
64,57.47993589681025,66.5732450125048,4789,2,octagram
65,29.618948229461544,77.02797404426303,9330,5,text_en_1919
66,41.37487822421124,86.99370402230073,1126,0,outer_ring
67,51.158495023171,88.40080124475617,501,0,outer_ring
68,47.8063982082512,69.48513288107954,4906,2,octagram
69,51.78245821488189,87.77310713333846,456,0,outer_ring
70,42.81228419192021,88.06440816210353,1060,0,outer_ring
71,46.5915370654187,76.20809311521245,3575,1,inner_ring
72,38.1684440388401,53.282337257436964,5325,2,octagram
73,51.48676636627041,89.27060038582997,475,0,outer_ring
74,46.029205574369534,74.26748777130457,3584,1,inner_ring
75,34.32878388601132,46.79097232300585,5382,2,octagram
76,40.14094860315737,53.19021509309271,6822,3,stroke_nan
77,16.801876490125533,29.074620560118202,1408,0,outer_ring
78,52.83167527088583,83.45910434099356,8685,5,text_en_1919
79,53.38607069772496,83.52042715042968,8678,5,text_en_1919
